start_time	end_time	event	session
2024-03-06 14:50:25.91235	2024-03-06 14:56:21.317441	tab_close	3eca2a999c311222e50305f621ee34bd
2024-03-06 15:01:13.434827	2024-03-06 15:01:23.622458	log_out	e9ddacbb87cc5699f53a60247a103769
2024-03-06 15:01:13.434827	2024-03-06 15:04:12.34054	tab_close	e9ddacbb87cc5699f53a60247a103769
2024-03-06 15:04:12.943985	2024-03-06 15:04:15.991124	tab_close	4be8db15747fcc908211d1c9986533a3
2024-03-06 15:04:19.868066	2024-03-06 15:05:54.108251	tab_close	a9c757472b11821878d82457dfd13a74
2024-03-06 15:05:54.903378	2024-03-06 15:07:53.153641	tab_close	1050abca04ad116d38c8c84368246536
2024-03-06 15:07:53.621239	2024-03-06 15:10:03.334184	tab_close	2f8f972e5073bd5984d2d031551972c4
2024-03-06 15:10:03.839764	2024-03-06 15:11:55.598133	tab_close	7789252964458d9b113d8e399886067a
2024-03-06 15:11:56.284872	2024-03-06 15:12:35.659641	tab_close	5c4079ac9f5b4b440003d400298f86ef
2024-03-06 15:12:36.067502	2024-03-06 15:12:47.862706	tab_close	5c869022b6e5613c925cdc7fadc58a23
2024-03-06 15:12:48.368189	2024-03-06 15:13:26.650913	tab_close	3e20d756de7a7ebfa2b1443665e61193
2024-03-06 15:15:04.124876	2024-03-06 15:15:35.797532	log_out	d6e5907af67224c844be3ae54813391e
2024-03-06 15:15:04.124876	2024-03-06 15:16:09.886713	tab_close	d6e5907af67224c844be3ae54813391e
2024-03-06 15:16:10.323931	2024-03-06 15:16:35.449553	tab_close	4e77cd318f902181a5735bd173fb2c3b
2024-03-06 15:16:36.069503	2024-03-06 15:17:11.775098	tab_close	f9add64fec67cf3610c472eef88593ac
2024-03-06 15:17:12.235048	2024-03-06 15:17:23.909785	tab_close	ee83f92e80c42d4fda1847e765aa3419
2024-03-06 15:17:51.879714	2024-03-06 15:18:53.03038	tab_close	e94e1dddfa07d3b6c6e4a23757e5cfd4
2024-03-06 15:18:53.637704	2024-03-06 15:18:56.625655	tab_close	d09844fb976f75710bf1ad08a4e1746e
2024-03-06 15:19:15.358458	2024-03-06 15:20:02.292425	tab_close	2d823ce557b15a738ea72139a8a22bc9
2024-03-06 15:20:02.912712	2024-03-06 15:20:15.113699	tab_close	4d532e814343a6e4059d6a24622a04c9
2024-03-06 15:20:22.121035	2024-03-06 15:20:31.345123	tab_close	0ac43e1ae35bd95afe2af0bb1d8f668a
2024-03-06 15:20:38.681277	2024-03-06 15:21:02.598249	tab_close	709356a6df4c94f012f0e0c5e92f0491
2024-03-06 15:21:03.40953	2024-03-06 15:21:21.082557	tab_close	3ba33ffabc4786ed5650ae5d4ef6f745
2024-03-06 15:21:21.555847	2024-03-06 15:21:44.85327	log_out	ca31c5378af5f822da07487d6ddb445a
2024-03-06 15:21:21.555847	2024-03-06 15:22:35.23228	tab_close	ca31c5378af5f822da07487d6ddb445a
2024-03-06 15:22:35.817186	2024-03-06 15:23:18.74495	tab_close	fad93ed8ab27c0f53a28f7b6c5fae8eb
2024-03-06 15:23:19.231889	2024-03-06 15:23:44.277858	tab_close	b459cfeba91fe7e2851f70119c08ee06
2024-03-06 15:25:16.788449	2024-03-06 15:26:56.24657	tab_close	450d87d46cd47f142c786e25095603ea
2024-03-06 15:26:56.762709	2024-03-06 15:26:59.920682	tab_close	db64d4f14f5ef615dc48b17d617b66bb
2024-03-06 15:27:06.37822	2024-03-06 15:28:19.097434	tab_close	42b108c0cda9b5c1311920e1a0b0cb01
2024-03-06 15:28:19.85463	2024-03-06 15:29:31.039484	tab_close	c5b9c515d83d646a4e3e2dec026f6e7a
2024-03-06 15:29:31.582814	2024-03-06 15:30:04.400108	tab_close	b94e724cc4936fe0c6e7b9d45e02585e
2024-03-06 15:30:04.915282	2024-03-06 15:30:42.58651	tab_close	119a6b92b1acbc8b4e5f89909f0d40e8
2024-03-06 15:30:43.488029	2024-03-06 15:31:32.890334	tab_close	3de0877391aa44c66d28d9729dd6c395
2024-03-06 15:31:33.814001	2024-03-06 15:35:10.413705	tab_close	27ebcf20ca251865f3b245ba57bf7a74
2024-03-06 15:35:11.45304	2024-03-06 15:35:41.46965	log_out	dc3265e8545626147d2947724270e024
2024-03-06 15:35:11.45304	2024-03-06 15:36:25.921004	tab_close	dc3265e8545626147d2947724270e024
2024-03-06 15:36:26.404941	2024-03-06 15:36:30.151355	tab_close	b2e8e659ab5fa2ec8ab1282d6e56080c
2024-03-06 15:37:12.574776	2024-03-06 15:37:23.570183	tab_close	d1b1b0e290b18652f21096a3e8c8de62
2024-03-06 15:37:49.136797	2024-03-06 15:39:08.445285	log_out	90cfd31a137704412b96a3276396fe6b
2024-03-06 15:37:49.136797	2024-03-06 15:42:01.402259	tab_close	90cfd31a137704412b96a3276396fe6b
2024-03-06 15:42:02.004802	2024-03-06 15:43:00.559504	tab_close	54440fb67cd8df10ce7c5c1c890dd2e6
2024-03-06 15:43:01.425274	2024-03-06 15:44:48.496268	tab_close	8f12fdb79eb1ea58cccc62855c8138b9
2024-03-06 15:44:49.04211	2024-03-06 15:45:49.907233	tab_close	92e74c8d348fd4cb303fbeacec8f89df
2024-03-06 15:45:50.43878	2024-03-06 15:45:58.262687	tab_close	a904c09dc80ba78a74f1b25aa5173cf2
2024-03-06 15:46:32.906269	2024-03-06 15:47:27.943089	tab_close	dfdb9e9d33edaff243d81f6f6a53cde2
2024-03-06 15:47:28.462515	2024-03-06 15:48:30.392466	log_out	0b0aa7b80264e0b0f9d79730ad0a40ce
2024-03-06 15:47:28.462515	2024-03-06 15:49:43.361746	tab_close	0b0aa7b80264e0b0f9d79730ad0a40ce
2024-03-06 15:49:44.267665	2024-03-06 15:52:54.329679	tab_close	5c5203e4c1023303b252852ed7c7f055
2024-03-06 15:53:12.11359	2024-03-06 15:53:42.460353	tab_close	915276876e73f03d7200e3e50b9ed609
2024-03-06 15:53:42.962387	2024-03-06 15:59:40.664499	tab_close	a8e73e09825ed7a614fa078cda49a4e8
2024-03-06 15:59:41.224987	2024-03-06 15:59:48.787874	tab_close	e9d0316e7405471f26e975306c634230
2024-03-06 16:04:11.97738	2024-03-06 16:04:36.575942	log_out	acc006fd0ae5d613284ca460648fa5a4
2024-03-06 16:04:11.97738	2024-03-06 16:04:39.501896	tab_close	acc006fd0ae5d613284ca460648fa5a4
2024-03-06 16:09:12.116442	2024-03-06 16:11:24.52389	tab_close	44fb234625ab471f0c61cd8a7f1ab0b5
2024-03-06 16:11:25.031778	2024-03-06 16:12:26.228459	tab_close	97eb62c7af9c291f53b5b9000b884200
2024-03-06 16:12:26.885505	2024-03-06 16:14:27.114726	tab_close	1652c968efb64038011fc01c3c012486
2024-03-06 16:14:27.660789	2024-03-06 16:14:37.781566	tab_close	38e4e203bb6c94e436e5c4e475df6a4b
2024-03-06 16:14:38.507653	2024-03-06 16:15:26.97727	tab_close	6c2675716b8453b3d6433d4e9051a0c3
2024-03-06 16:15:27.507695	2024-03-06 16:15:49.814709	tab_close	cb64b534569fce599fd2e1336db5485e
2024-03-06 16:15:50.537825	2024-03-06 16:16:03.137889	tab_close	d68cbae208e2d9356a8c769fbb08fbeb
2024-03-06 16:16:03.908167	2024-03-06 16:16:49.369239	tab_close	b7c61ac394b564903a8dd808a7d7cef4
2024-03-06 16:16:49.915946	2024-03-06 16:17:38.584397	tab_close	61012319661e41c21342a95098127bf5
2024-03-06 16:26:44.161972	2024-03-06 16:27:49.869846	tab_close	640fbffb988e01dada0bf7668d87411d
2024-03-06 16:29:41.621265	2024-03-06 16:30:55.065677	tab_close	f8a283f9eff53280298e9f52092f3ba4
2024-03-06 16:30:55.55544	2024-03-06 16:31:17.779296	tab_close	1791bfea82a37d9cca2b0ecb21bfd4c7
2024-03-06 16:31:18.253582	2024-03-06 16:33:31.413881	tab_close	84d435911c84dbff8a2865289a519197
2024-03-06 16:33:31.905316	2024-03-06 16:35:20.362469	tab_close	6dfa6d8916c9c9d02b0f2301bd79aeb0
2024-03-06 16:35:20.878206	2024-03-06 18:21:46.801608	tab_close	a2ebff3ad5fd23709c7447b6404d8306
2024-03-06 18:21:47.359342	2024-03-06 18:26:23.855409	tab_close	589d8d012d750d15f4ed8a2c4807ec2f
2024-03-06 18:27:35.29926	2024-03-06 18:34:10.144476	log_out	5ec069ba71493616012adb3e358a91c5
2024-03-06 18:27:35.29926	2024-03-06 18:34:13.98665	tab_close	5ec069ba71493616012adb3e358a91c5
2024-03-06 18:34:46.739319	2024-03-06 18:35:05.354154	tab_close	2412febe102487015d087fd894b02c6e
2024-03-06 18:35:05.788144	2024-03-06 18:35:24.777143	tab_close	8a134ef445a82bb618a8975a6080334b
2024-03-06 18:36:00.485737	2024-03-06 18:38:10.783488	tab_close	f3178c5b84f07eb991cf758039e66358
2024-03-06 18:38:11.3937	2024-03-06 18:39:22.49123	tab_close	8e9dc56dc009d093d5b07bc1e2ab66a5
2024-03-06 18:42:47.288672	2024-03-06 18:43:13.38701	tab_close	9980a176edb4c5b4c96384bcd98d248d
2024-03-06 18:43:13.901262	2024-03-06 18:43:37.032307	log_out	303345f0f59bd6d30f7481ceea37e3fb
2024-03-06 18:43:13.901262	2024-03-06 18:43:47.22064	tab_close	303345f0f59bd6d30f7481ceea37e3fb
2024-03-06 18:43:47.659853	2024-03-06 18:43:52.137678	tab_close	298a5cf088e702a6f17a3ff1b335ccf9
2024-03-06 18:44:06.732518	2024-03-06 18:45:21.066823	tab_close	1232af721a350d5a81788b881313a6ef
2024-03-06 18:45:21.762035	2024-03-06 18:46:25.966336	tab_close	227e0e89f6a1864ee96fd46f4ab835b9
2024-03-06 18:46:26.551215	2024-03-06 18:48:15.461938	tab_close	91bd3ea0b4d9eb58b23f83aad71f27d6
2024-03-06 18:48:15.9112	2024-03-06 18:48:50.17332	tab_close	043164ba2ff8c966f1d87917e2f62c7a
2024-03-06 18:48:50.627277	2024-03-06 18:49:07.903151	tab_close	3d63f1d1d8450d0a103440df30ae4937
2024-03-06 18:49:08.506559	2024-03-06 18:51:39.122166	tab_close	b1c7094ac99c390ccf71082576f21646
2024-03-06 18:51:39.750809	2024-03-06 18:54:30.35523	tab_close	2d118023e77b6dff939cff82b5070997
2024-03-06 18:54:30.839506	2024-03-06 18:54:39.90046	tab_close	23e10ade385b2a8c1cf05ff19cdc66ac
2024-03-06 18:54:43.348873	2024-03-06 18:58:33.624137	tab_close	6fc3ff9395c10b61800659fa78cbdef8
2024-03-06 18:58:34.229159	2024-03-06 18:59:19.077302	tab_close	c0bc5e72c79bcba8cf301dc5c6116a1b
2024-03-06 18:59:19.787166	2024-03-06 18:59:46.512717	tab_close	c3e196b669a9722ecf7ac8595b46f792
2024-03-06 18:59:47.039774	2024-03-06 19:00:09.017026	tab_close	e4d71fff631be5fdb926fe9f81f8c1e3
2024-03-06 19:00:09.525463	2024-03-06 19:00:44.390756	tab_close	ef9358a3ba84def8e4d52bdde9ce7014
2024-03-06 19:00:45.130646	2024-03-06 19:01:58.967017	tab_close	6fff3ffde920ebdb90c6ab50978abb76
2024-03-06 19:01:59.488582	2024-03-06 19:02:44.909117	tab_close	328d46179ce84cbbbb184f63a2b5bf66
2024-03-06 19:02:45.624693	2024-03-06 19:04:21.391632	tab_close	0f916d3de764fd01b2cbdfacf89865b3
2024-03-06 19:04:22.08042	2024-03-06 20:28:07.925382	log_out	8270b0994c8e1a08723bd75b6f8f7ab8
2024-03-06 19:04:22.08042	2024-03-06 21:12:48.166845	tab_close	8270b0994c8e1a08723bd75b6f8f7ab8
2024-03-06 21:12:48.880781	2024-03-06 21:15:47.697387	tab_close	270eeee0f1afcf2bb82e7c16a1725c2c
